pk_local;Region Code;Address Number;City;Country;Customer Address 1;Customer Address 2;Customer Address 3;Customer Address 4;State;Zip Code
a2eb63e29c4a103b171e34728a337c081c6aa341907d40442abce6e79bfd4ce7;5;10014238;2215 TC Voorhout;IR;S Gravendam Seweg 53;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado
2e5d3ce74700ce2b7602a00912c71efe57f5f90f83b52548e589d68331adde35;4;10014810;Canton;US;Attention: Accounts Payable Department;PO Box 8844;Não Informado;Não Informado;OH;44711-8844
be6efaeb3925f37934bbb86a08ff802d6cd762a093844bc864323b8b30a5e2f2;0;10025508;Moncton;CA;1809 Main Street;Não Informado;Não Informado;Não Informado;NB;E1E 1H5
eb1c7a9234a57c8a6c50c749740bdf8692ad4825a957c8bca1f69982a673b845;3;10025247;Pittsburgh;US;390 Fountain Street;Não Informado;Não Informado;Não Informado;PA;15238
dc31a68f4e90c38e0e1c4a562f14ecd78d88983f67d57efa251f8e27f12ecbdd;5;10013397;"";"";"";"";"";"";"";""
3b9df2e14bd998dc313eaafc5529963f86f1cd37ad4b6f3bbc017d2a1371b5ac;3;10008134;Petersburg;US;23308 Airpark Drive;Não Informado;Não Informado;Não Informado;VA;23803
deeefe61cc7880b062e0968d6aa95b4d8dc64528de91630c6743675d01048b24;1;10022456;Rancho Cordova;US;3340 A Sunrise Boulevard;Não Informado;Não Informado;Não Informado;CA;95742-7316
18a7e797f383daa031dcf1d4396e2f54f234772745bcb59d0ca2612a5b39b4a2;1;10025769;Redding;US;850 Commerce Street;Não Informado;Não Informado;Não Informado;CA;96002
66fb6322ae579f68b05b41e69ac70d9e3577e02797fe1cdd699b06d8a9fe7bc5;1;10009656;Trinity Center;US;PO Box 450;Não Informado;Não Informado;Não Informado;CA;96091
e6e8d808feadcac8aa3650024a0348d15ffee4906ef151e616f651a46eda52ce;5;10010865;"";"";"";"";"";"";"";""
39fd575a3c7c9d7754dc20cb242a460fae3473dad5553e44a402693c9dd1c041;5;10020715;Linares (Jaen);UK;Avda 10 De Mayo S/N;Não Informado;Não Informado;Não Informado;Não Informado;23700
dc194a801c21210ab6b043f98cc0fc671ed4f75111d71f70884b641f260c08c9;2;10009697;Orlando;US;4455 Dardanelle Drive;Não Informado;Não Informado;Não Informado;FL;32808
4269317409f769cfc3784c4981f0172d22a92cc41bc20063e577c883fc013235;5;10018371;00-394 Warsaw;UK;Solec 44;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado
